Chapter,Name,Alignment,Size,Ancestry,Type,Tag,Level,Role,XP,Initiative,Perception,Senses,Aura,HP,Staggered,HP Extras,AC,Fort,Ref,Will,Immunity to,Resistance to,Vulnerability to,Saving Throws,Spd,Action Points,Power 1 - Type,Power 1 - Name,Power 1 - Action,Power 1 - Frequency,Power 1 - Tags,Power 1 - Attack,Power 1 - Effect,Power 1 - Secondary Attack,Power 2 - Type,Power 2 - Name,Power 2 - Action,Power 2 - Frequency,Power 2 - Tags,Power 2 - Attack,Power 2 - Effect,Power 2 - Secondary Attack,Power 3 - Type,Power 3 - Name,Power 3 - Action,Power 3 - Frequency,Power 3 - Tags,Power 3 - Attack,Power 3 - Effect,Power 3 - Secondary Attack,Power 4 - Type,Power 4 - Name,Power 4 - Action,Power 4 - Frequency,Power 4 - Tags,Power 4 - Attack,Power 4 - Effect,Power 4 - Secondary Attack,Power 5 - Type,Power 5 - Name,Power 5 - Action,Power 5 - Frequency,Power 5 - Tags,Power 5 - Attack,Power 5 - Effect,Power 5 - Secondary Attack,Power 6 - Type,Power 6 - Name,Power 6 - Action,Power 6 - Frequency,Power 6 - Tags,Power 6 - Attack,Power 6 - Effect,Power 6 - Secondary Attack,Power 7 - Type,Power 7 - Name,Power 7 - Action,Power 7 - Frequency,Power 7 - Tags,Power 7 - Attack,Power 7 - Effect,Power 7 - Secondary Attack,Power 8 - Type,Power 8 - Name,Power 8 - Action,Power 8 - Frequency,Power 8 - Tags,Power 8 - Attack,Power 8 - Effect,Power 8 - Secondary Attack,Power 9 - Type,Power 9 - Name,Power 9 - Action,Power 9 - Frequency,Power 9 - Tags,Power 9 - Attack,Power 9 - Effect,Power 9 - Secondary Attack,Power 10 - Type,Power 10 - Name,Power 10 - Action,Power 10 - Frequency,Power 10 - Tags,Power 10 - Attack,Power 10 - Effect,Power 10 - Secondary Attack,Language,Skills,Str,Con,Dex,Int,Wis,Cha,Equipment,Description,Str mod,Con mod,Dex mod,Int mod,Wis mod,Cha mod
Summons,# Summons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summons,Demon Toad,,Small,Outsider,Monstrosity,Demon,1,Summoned Creature,,,,darkvision,,your recovery value,,can use your recoveries,your defenses,,,,,poison 5,,,"4, jump 4",,Basic Melee,Bite ,standard,at-will,Poison,your level +4 vs. AC,1d8 + Charisma modifier poison damage.,,Near,Foul Belch,"immediate (react), when the toad takes damage",at-will,Poison,Near burst 1; your level +2 vs. Fortitude,1d8 + Charisma modifier poison damage and the target is dazed (save ends).,,,Instinct,,,,,"At the end of your turn, if the demon toad has not received a command that turn, it attacks or charges the nearest dazed creature, otherwise the nearest creature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5,-5,-5,-5,-5
Summons,Hopping Imp,,Small,Outsider,Humanoid,Demon,1,Summoned Creature,,,,darkvision,"*Curse (Psychic) aura 1:* Each time a creature in the aura misses on an attack, it takes 1d8 + your Charisma modifier psychic damage.",your recovery value,,can use your recoveries,your defenses,,,,,,,,"6, fly 2",,Basic Melee,Festering Claws,standard,at-will,Poison,your level +6 vs. AC,Target takes 5 persistent poison damage (save ends). ,,Near,Blight Jet,standard,at-will,Poison,"Near arc 2, your level +4 vs. Fortitude",1d8 + Charisma modifier poison damage and the target is slowed (save ends).,,,Instinct,,,,,"At the end of your turn, if the hopping imp has not received a command that turn, it attacks or charges the nearest slowed creature, otherwise the nearest creature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5,-5,-5,-5,-5
Summons,Burner Demon,,Medium,Outsider,Humanoid,"Demon, Fire",5,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 10,cold 10,,"fly 4 (hover, max altitude 2)",,Basic Melee,Flickers of Flame,standard,at-will,Fire,your level +4 vs. Reflex,1d6 + Charisma modifier fire damage. *Miss:* Random creature adjacent to burner demon takes 1d6 + Charisma modifier fire damage.,,Far,Quick Flicking Fire,standard,at-will,Fire,"Far burst 1 (range 5), one random target; your level +4 vs. Reflex",1d6 + Charisma modifier fire damage.,,,Instinct,,,,,"At the end of your turn, if the burner demon has not received a command that turn, it makes a *fast flicking fire* attack against the nearest square occupied by a creature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,-3,-3,-3,-3,-3
Summons,Hellhound,,Medium,Outsider,Beast,Demon,5,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 10,cold 10,,8,,Basic Melee,Savage Bite,standard,at-will,Fire,your level +4 vs. AC,"2d6 + Charisma modifier fire damage. *Miss:* Make a *fiery breath* attack as a free action, if available.",,Near,Fiery Breath,standard,"refresh 5, 6",Fire,"Near arc 2, your level +4 vs. Reflex",1d6 + Charisma modifier fire damage and persistent 5 fire damage.,,,Instinct,,,,,"At the end of your turn, if the hellhound has not received a command that turn, it charges its quarry if within charging distance, otherwise Runs towards the quarry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,-3,-3,-3,-3,-3
Summons,Hezrou,,Large,Outsider,Humanoid,Demon,9,Summoned Creature,,,,darkvision,*Demonic Stench aura 1:* Creatures in the aura cannot heal.,your staggered value,,can use your recoveries,your defenses,,,,,,,,"8, jump 4",,Basic Melee,"Meaty, Clawed Hands",standard,at-will,,your level +6 vs. AC,1d8 + Charisma modifier and the target is grappled.,,Melee,Constrict,standard,at-will,,,A creature the hezrou has grappled takes 2d8 + Charisma modifier damage.,,,Instinct,,,,,"At the end of your turn, if the hezrou has not received a command that turn, it constricts if it is grappling a creature. Otherwise it attacks or charges the nearest creature. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1
Summons,Hungry Maw,,Medium,Outsider,Monstrosity,Demon,9,Summoned Creature,,,,darkvision,*Chomp and Chew aura 1:* Targets take 10 persistent damage (save ends).,your staggered value,,can use your recoveries,your defenses,,,,,,,,6,,Basic Melee,Big Chomp,standard,at-will,,your level +4 vs. AC,2d6 + Charisma modifier damage.,,,,,,,,,,,Instinct,,,,,"At the end of your turn, if the hellhound has not received a command that turn, it charges its quarry if within charging distance, otherwise Runs towards the quarry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1
Summons,Minor Dream Figment,,Medium,Fey,Humanoid,,9,Summoned Creature,,,,,,your staggered value,,can use your recoveries,your defenses,,,,,,,,6,,Basic Melee,Pummel,standard,at-will,Psychic,your level +4 vs. AC,1d10 + Intelligence modifier psychic damage.,,Near,Nightmare Fuel,"immediate (react), when a Melee attack hits you",encounter,"Psychic, Fear",your level +6 vs. Will,1d8 + Intelligence modifier psychic damage and the target is dazed (save ends).,,,,,,,,,,,Instinct,,,,,"At the end of your turn, if the minor dream figment has not received a command that turn, it makes a *pummel* attack against an adjacent enemy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1
Summons,Vulture Demon,,Large,Outsider,Monstrosity,Demon,9,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,,,,"6, fly 8",,Basic Melee,Filth Covered Claws,standard,at-will,Poison,your level +6 vs. AC,1d8 + Charisma modifier damage and 5 persistent poison damage.,,Near,Demonic Screech,standard,"refresh 5, 6",Psychic,"Near arc 3, your level +2 vs. Will",1d8 + Charisma modifier psychic damage and the target grants combat advantage until the end of your next turn.,,,Instinct,,,,,"At the end of your turn, if the vulture demon has not received a command that turn, its *demonic screech* attack is automatically refreshed and then used, positioned to include as many targets as possible. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1
Summons,Big Burner,,Large,Outsider,Humanoid,"Demon, Fire",15,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 15,cold 15,,"fly 8 (hover, max altitude 3)",,Basic Melee,Flickers of Flame,standard,at-will,Fire,Reach 2; your level +4 vs. Reflex,3d6 + Charisma modifier fire damage. *Miss:* Random creature adjacent to big burner takes 2d6 + Charisma modifier fire damage.,,Far,Quick Flicking Fire,standard,at-will,Fire,"Far burst 1 (range 5), one random target; your level +4 vs. Reflex",2d6 + Charisma modifier fire damage.,,,Instinct,,,,,"At the end of your turn, if the big burner has not received a command that turn, it makes a *fast flicking fire* attack against the nearest square occupied by a creature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,+2,+2,+2,+2
