Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Ancestries,,,,,,,,,,,,,,,,,,,
Tough as Nails,,Utility,Encounter,Ancestry,Dwarf,,Swift,Self,,,,,,,,You rally.,,,
Highblood Teleport,,Utility,Encounter,Ancestry,Elf,Teleport,Move,Self,,,,,,,,Teleport up to 5.,,,
Lucky,,Utility,Encounter,Ancestry,Halfling,,Immediate (Counter),Self,,,An attack hits you.,,,,,Reroll the attack roll and take the second result.,,,
True Grit,,Utility,Encounter,Ancestry,Human,,No,Self,,,You fail a saving throw or miss with an attack roll,,,,,Add a +4 Ancestry bonus to the roll/throw.,,,
Breath Weapon,,Attack,Encounter,Ancestry,Dragonborn,[Energy],Swift,Near ,"arc 3, targets all",,,"(Highest of Strength, Constitution, Dexterity) +2",Reflex,"1d6 + Constitution modifier. 
*Level 11:* 2d6 + Constitution modifier. 
*Level 21:* 3d6 + Constitution modifier.",,,,,
Disappearing Act,,Utility,Encounter,Ancestry,Gnome,,Immediate (React),Self,,,You take damage.,,,,,"Become invisible until the end of your next turn, or until you make an attack (whichever comes sooner). ",,,
Ghost Sound,,Utility,At-Will,Feature,Cantrips,Illusion,Standard,Ranged ,"10, one object or empty square",,,,,,,"Ghost sound allows you to create a volume of sound that rises, recedes, approaches, or remains at a fixed place. You choose what type of sound ghost sound creates when casting it and cannot thereafter change the sound’s basic character. You can produce as much noise as a person. The noise a ghost sound spell produces can be virtually any type of sound within the volume limit. ",,,
Half-Elven Ingenuity,,Utility,Encounter,Ancestry,Half-Elf,,Swift,Near ,"burst 5, self or one ally",,,,,,,"Choose one: target shifts up to 2 as a free action, target makes a saving throw, target gets +2 power bonus to next attack roll or target gets +4 power bonus to next skill check. Power bonuses expire at the end of your next turn if not already used.",,,
Orcish Rush,,Utility,Encounter,Ancestry,Half-Orc,,Free,Self,,,You hit with an attack.,,,,,"Attack does +1dW. If attack was not with a weapon, +1d8 instead.",,,
Vengeance of the Pits,,Attack,Encounter,Ancestry,Tiefling,Fire,Free,Near ,"burst 10, one enemy",,An attack by that enemy hits you.,,,,,"The target takes 1d6 + Intelligence OR Charisma modifier fire damage. 
*Level 11:* 2d6 + Intelligence OR Charisma modifier. 
*Level 21:* 3d6 + Intelligence OR Charisma modifier. ",,,
Barrel Along,,Utility,Encounter,Ancestry,Whom,,Swift,Self,,,You are staggered.,,,,,You have a +2 bonus to speed and to damage rolls until the end of the encounter.,,,
Poisonous Nip,Your fangs excrete a mild poison.,Attack,Encounter,Ancestry,Vishya,Poison,Swift,Melee,"1, one target",,,Dexterity or Constitution +2,AC,"1d8 + your Dexterity or Constitution modifier poison damage.
*Level 11:* Attack bonus increases to +4. 2d8 + modifier damage.
*Level 21:* Attack bonus increases to +6. 3d8 + modifier damage.",,,,,
Careful Focus,,Utility,Encounter,Ancestry,Elf,,Free,Self,,,You just made an attack roll.,,,,,Reroll the attack roll and take the new result.,,,
Farstrider,,Utility,Encounter,Ancestry,Elf,,Move,Self,,,,,,,,Shift up to your speed.,,,
,,,,,,,,,,,,,,,,,,,
Weapon Master,,,,,,,,,,,,,,,,,,,
One-Two Punch,,Attack,Encounter,11,Weapon Master,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Strength,"AC, two attacks","2dW + Strength modifier damage and the target is dazed until the end of your next turn. If both attacks hit, the target is stunned until the end of your next turn.  ",,,,,
Fast Learner,,Utility,Daily,12,Weapon Master,Martial,Swift,Self,,,,,,,,Select a feat you meet the prerequisites for. You gain that feat until your next long rest.,,,
First Blood,,Attack,Daily,20,Weapon Master,"Martial, Weapon",Standard,Near,"burst 1, all enemies",,,Strength,AC,"3dW + Strength modifier damage if the target is below maximum HP.
5dW + Strength modifier damage if the target is above maximum HP.",Half damage.,,,,
,,,,,,,,,,,,,,,,,,,
Agent Retriever,,,,,,,,,,,,,,,,,,,
