Name,Level,Type,XP,Perception,Trigger,Countermeasures,Effect,Initiative,Effect 2,Range 1,Target,Attack,Hit,Miss,Effect,Special
Whistling Staircase,1,Alarm,100,DC 20: The character notices the cords running beneath the stairs.,The trap triggers when a Medium or larger creature steps onto the stairs.,"An adjacent character can disable the Nightingale Stairs trap with a DC 20 Sleight of Hand check.
A DC 20 Dungeoneering check grants the party a +2 bonus to Sleight of Hand checks to delay or disable the trap.","Immediate (Reaction) Action; the trapped stairs make a terrible racket, alerting those nearby.",,Immediate,,,,,,"The trapped stairs make a terrible racket, alerting those nearby.",
Simple Spear Trap,1,Alarm,100,DC 20: The character notices the mechanism that fires the spear.,Trigger: The trap attacks when a character opens the drawer.,"An adjacent character can disable the spear trap with a DC 20 Sleight of Hand check.
A DC 20 Dungeoneering check grants the party a +2 bonus to Sleight of Hand checks to delay or disable the trap.","Immediate (Reaction) Action Melee
Target: The creature that opens the drawer
Attack: +4 vs. AC
Hit: 1d8+3 damage.",,Immediate,Melee,The creature that opens the drawer,+4 vs. AC,1d8+3 damage.,,,
Cinder Trap,1,Alarm,100,DC 20: The character notices that slow-burning torch and mechanism the flings it on the other side of the bridge.,"The trap is triggered automatically if the bridge trap is triggered. In addition, there is a trip wire the far end of the bridge that will trigger the trap.","An adjacent character can disable the trap with a DC 20 Sleight of Hand check.
If the trap is triggered, an adjacent character can throw himself in front of the trap to prevent the torch from being flung into the air with a successful DC 15 Acrobatics or Athletics check. However, if the character is successful, he suffers 7 points of fire damage.","Immediate (Reaction) Action Melee
Target: None, or the creature that trips the tripwire.
Attack: +4 vs. Reflex
Hit: 1d6+1 fire damage.",,Immediate,Melee,The creature that trips the tripwire.,+4 vs. Reflex,1d6+1 fire damage.,,,
Snare Trap,1,Alarm,100,"DC 12: The character notices coiled rope.
DC 15: The character spots the noose.",The trap attacks immediately when a character enters the square containing the noose. It must be reset before it functions again.,"A character who makes a successful Athletics check (DC 5 or DC 10 without a running start) can jump over the noose.
An adjacent character can trigger the trap with a DC 14 Sleight of Hand check (standard action).
An adjacent character can destroy the trap by cutting the rope","Immediate (Reaction) Action
Melee Attack
Target: Creature in trigger square.
Attack: +4 vs. Ref
Hit: Target is immobilized, suspended upside-down 10 feet in the air, and loses a recovery.",,Immediate,Melee,Creature in trigger square.,+4 vs. Ref,"Target is immobilized,  suspended upside-down 10 feet in the air,  and loses a recovery.",,,
Quicksand,1,Blocker,100,Nature DC 23: Character notices that the ground ahead is quicksand.,The hazard attacks immediately when a character enters one of its four squares.,"A character in the pit can rise 1 square as a move action by making a special escape attempt, using their Athletics (only) vs. Fort 13. 
A character adjacent to the pit using a long item (like a ten-foot pole, rope, polearm haft, or snake) to help the target escape grants the target a +2 bonus to their escape attempt.
A character with a rope around their body can easily dive in and retrieve a drowning target.","Immediate (Reaction) Action
Melee
Target: Creature in trigger square.
Attack: +4 vs. Ref
Hit: Target falls into pit, sinks 1 square down, sinking targets grant combat advantage. Miss: Target returns to last square it occupied and its move action ends immediately; Effect: Entire pit becomes plain to see.
Sustain Standard: Atk +4 vs. Fort; target sinks 1 square to a maximum depth of 3 squares, targets in over their head begin to suffocate. ",,Immediate,Melee,Creature in trigger square.,+4 vs. Ref,"Target falls into pit and sinks 1 square down. Sinking targets grant combat advantage. Each round, attack +4 vs. Fort. Hit:  target sinks 1 square to a maximum depth of 3 squares,  targets in over their head begin to suffocate. ",Target returns to last square it occupied and its move action ends immediately,Entire pit becomes plain to see.,
Stinking Trench,1,Blocker,100,DC 5: The character notices the horrific smell coming from the trench,"When a hero passes through, or begins his turn in the trench.",A character who makes a successful Athletics check (DC 6 or DC 11 without a running start) can jump over the trench.,"Stench Cloud aura 1
Target: Creature passing through (or in) the trench
Attack +4 vs. Fort
Hit: Target is dazed (save ends).",,,Near burst 1,Creature passing through (or in) the trench,+4 vs. Fort,Target is dazed (save ends).,,,
Arrow Trap in Chest,2,Alarm,125,DC 25: The character notices the small hole on the chest through which the arrow is fired.,The trap attacks when a character opens the chest.,"An adjacent character can disable the poison arrow trap with a DC 20 Sleight of Hand check.
A DC 20 Dungeoneering check grants the party a +2 bonus to Sleight of Hand checks to delay or disable the trap.","Immediate (Reaction) Action Melee
Target: The creature that opens the chest
Attack; +8 vs. AC
Hit: 1d10+3 damage.",,Immediate,Melee,The creature that opens the chest,+8 vs. AC,1d10+3 damage.,,,
Concealled Pit Trap,2,Alarm,125,DC 25: The character notices that the squares hiding the pit trap bow in slightly.,The trap triggers when a character enters one of its squares.,"An adjacent character can trigger the trap with a DC 15 Sleight of Hand check.
An adjacent character can disable the trap with a DC 20 Sleight of Hand check.
A DC 20 Dungeoneering check grants the party a +2 bonus to Sleight of Hand checks to delay or disable the trap.","Immediate (Reaction) Action Melee
Target: The creature that entered one of the trap’s squares
Attack: +6 vs. Reflex
Hit: The target falls into the pit, takes 1d10+3 damage, and falls prone. 
Miss: The target returns to the last square it occupied and its move action ends immediately. 
Effect: The pit trap opens and the trap is no longer hidden.",,Immediate,Melee,The creature that entered one of the trap’s squares,+6 vs. Reflex,"The target falls into the pit,  takes 1d10+3 damage, and falls prone. ", Miss: The target returns to the last square it occupied and its move action ends immediately. Effect: The pit trap opens and the trap is no longer hidden.,,
Scythe Trap,2,Alarm,125,DC 20: The character notices the scythe blade housing in the drawer,The trap attacks when a character opens the drawer.,"An adjacent character can disable the scythe blade trap with a DC 20 Sleight of Hand check.
A DC 20 Dungeoneering check grants the party a +2 bonus to Sleight of Hand checks to delay or disable the trap ","Immediate (Reaction) Action Melee
Target: The creature that opens the drawer
Attack: +5 vs. AC
Hit: 1d10+3 damage.",,Immediate,Melee,The creature that opens the drawer,+5 vs. AC,1d10+3 damage. ,,,
Gate Spikes,2,Assassin,125,DC 20: The character notices the hidden mechanism that fires the spears.,The trap attacks when a character attempts to climb over the gate.,"An adjacent character can disable the spears with a DC 20 Sleight of Hand check.
A character that makes a DC 20 Athletics check to vault over the gate is outside of the spike’s reach.","Opportunity Action Melee
Target: The creature climbing over the gate
Attack: +7 vs. AC
Hit: 1d8+3 damage.",,Opportunity,Melee,The creature climbing over the gate,+7 vs. AC,1d8+3 damage.,,,
